# Inflected form	Frequency	DDW
11 novembre	2	0
termes du Corpus	1	0
Maison communale du 11 novembre	1	0
etiquetage morpho	1	0
anciens combattants	1	0
Maison communale	1	0
extration des mots	1	0
texte de Test	1	0
quatres logiciels	1	0
maire de la ville	1	0
relation de definition	1	0
Sequencage des phrasesse	1	0
etapesn suivantes	1	0
nom de la rue de Paris	1	0
mardi 11	1	0
rue du 11 novembre	1	0
nom de la rue	1	0
novembre 2018.	1	0
grande cérémonie	1	0
mardi 11 novembre	1	0
etiquetage morpho Syntaxique	1	0
