# Inflected form	Frequency	DDW
Université Paris	2	0
Université Paris IV-Sorbonne	2	0
Université Paris IV-Sorbonne Bertrand Marchal	1	0
Comité scientifique	1	0
École Normale	1	0
École Normale Supérieure André	1	0
Université Paris IV-Sorbonne Bertrand	1	0
Université de Zurich Ève Morisi	1	0
Dominique Combe	1	0
École Normale Supérieure André Guyaux	1	0
École Normale Supérieure	1	0
Université de Zurich	1	0
Université de Zurich Ève	1	0
Université Paris IV-Sorbonne Patrick	1	0
Université Paris IV-Sorbonne Patrick Labarthe	1	0
